session_key,Date,Workout Name,Duration,Exercise_Name,Equipment,Set_Order,Weight,Reps,Distance,Seconds,Notes,Workout_Notes,RPE
1,2024-05-23 22:18:07,Legs,52s,Lying Leg Raise,Body Weight,1,0,12,0,0,,,
1,2024-05-23 22:18:07,Legs,52s,Lying Leg Raise,Body Weight,2,0,12,0,0,,,
1,2024-05-23 22:18:07,Legs,52s,Lying Leg Raise,Body Weight,3,0,12,0,0,,,
2,2024-05-28 00:01:20,Midnight Workout,18s,Bench Press,Barbell,1,135,2,0,0,,,
2,2024-05-28 00:01:46,Midnight Workout,26m,Incline Bench Press,Dumbbell,2,25,12,0,0,,,
2,2024-05-28 00:01:46,Midnight Workout,26m,Incline Bench Press,Dumbbell,3,30,12,0,0,,,
2,2024-05-28 00:01:46,Midnight Workout,26m,Incline Bench Press,Dumbbell,4,35,12,0,0,,,
2,2024-05-28 00:01:46,Midnight Workout,26m,Incline Bench Press,Dumbbell,5,40,12,0,0,,,
3,2024-05-29 12:07:48,Back and Biceps,1h 5m,Straight-leg Deadlift,Barbell,1,135,8,0,0,,,
3,2024-05-29 12:07:48,Back and Biceps,1h 5m,Straight-leg Deadlift,Barbell,2,135,3,0,0,,,
3,2024-05-29 12:07:48,Back and Biceps,1h 5m,Straight-leg Deadlift,Barbell,3,185,7,0,0,,,
3,2024-05-29 12:07:48,Back and Biceps,1h 5m,Straight-leg Deadlift,Barbell,4,205,2,0,0,,,
3,2024-05-29 12:07:48,Back and Biceps,1h 5m,Deadlift,Barbell,5,255,1,0,0,,,
3,2024-05-29 12:07:48,Back and Biceps,1h 5m,Pull-up,Body Weight,6,155,1,0,0,,,
3,2024-05-29 12:07:48,Back and Biceps,1h 5m,Bent-over Row: Underhand,Barbell,7,45,12,0,0,,,
3,2024-05-29 12:07:48,Back and Biceps,1h 5m,Bent-over Row: Underhand,Barbell,8,95,12,0,0,,,
3,2024-05-29 12:07:48,Back and Biceps,1h 5m,Bent-over Row: Underhand,Barbell,9,115,12,0,0,,,
3,2024-05-29 12:07:48,Back and Biceps,1h 5m,Bent-over Row: Underhand,Barbell,10,135,5,0,0,,,
